Postcodes;Nieuwbouw|2018;Nieuwbouw|2019;Nieuwbouw|2020;Nieuwbouw|2021;Stadsdeel
1315;40.0;;;;Stad
1318;;40.0;;1.0;Stad
1319;103.0;131.0;9.0;;Stad
1325;48.0;;;;Stad
1328;;44.0;;;Stad
1331;1.0;;;2.0;Buiten
1334;194.0;62.0;76.0;89.0;Buiten
1335;37.0;69.0;;114.0;Buiten
1336;100.0;35.0;173.0;113.0;Buiten
1339;;41.0;;21.0;Buiten
1341;179.0;211.0;145.0;203.0;Hout
1343;9.0;12.0;36.0;47.0;Hout
1349;148.0;211.0;266.0;248.0;Hout
1351;;24.0;;;Haven
1352;11.0;5.0;3.0;6.0;Haven
1353;;59.0;40.0;22.0;Haven
1355;;52.0;;20.0;Haven
1358;2.0;6.0;2.0;6.0;Haven
1359;3.0;56.0;3.0;76.0;Haven
1361;222.0;153.0;451.0;387.0;Poort
1362;1.0;;;;Poort
1363;547.0;442.0;131.0;93.0;Poort
