Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,pct_0_15,pct_15_25,Ratio_0_15,Ratio_15_25
2018-01-01,WK003401,22790,3975,2420,2018,17.441860465116278,10.618692408951294,0.1744186046511628,0.10618692408951294
2019-01-01,WK003401,22875,3945,2415,2019,17.245901639344265,10.557377049180328,0.17245901639344263,0.10557377049180328
2020-01-01,WK003401,23275,4005,2485,2020,17.207303974221265,10.676691729323307,0.17207303974221266,0.10676691729323308
2021-01-01,WK003401,23530,4180,2465,2021,17.764555886102848,10.475988100297492,0.17764555886102848,0.10475988100297493
2018-01-01,WK003402,108800,19915,14890,2018,18.30422794117647,13.685661764705884,0.1830422794117647,0.13685661764705884
2019-01-01,WK003402,109260,19505,14975,2019,17.85191286838733,13.705839282445542,0.17851912868387332,0.13705839282445542
2020-01-01,WK003402,109805,19275,14890,2020,17.553845453303584,13.560402531760849,0.17553845453303585,0.13560402531760848
2021-01-01,WK003402,109415,18890,14625,2021,17.264543252753278,13.366540236713432,0.17264543252753278,0.1336654023671343
2018-01-01,WK003403,56315,11190,7730,2018,19.870372014560953,13.726360649915652,0.19870372014560952,0.13726360649915653
2019-01-01,WK003403,56760,10955,7895,2019,19.300563777307964,13.909443269908389,0.19300563777307964,0.13909443269908386
2020-01-01,WK003403,56970,10700,7955,2020,18.781814990345797,13.963489555906616,0.18781814990345796,0.13963489555906616
2021-01-01,WK003403,56985,10480,7780,2021,18.39080459770115,13.652715626919363,0.1839080459770115,0.13652715626919365
2018-01-01,WK003404,13430,3375,1220,2018,25.13030528667163,9.084139985107967,0.2513030528667163,0.09084139985107967
2019-01-01,WK003404,15365,3900,1390,2019,25.38236251220306,9.046534331272372,0.2538236251220306,0.09046534331272373
2020-01-01,WK003404,16760,4285,1465,2020,25.566825775656326,8.741050119331742,0.25566825775656327,0.08741050119331742
2021-01-01,WK003404,18095,4585,1600,2021,25.338491295938105,8.842221608179054,0.25338491295938104,0.08842221608179054
2018-01-01,WK003405,2655,465,235,2018,17.51412429378531,8.851224105461393,0.1751412429378531,0.08851224105461393
2019-01-01,WK003405,3645,760,315,2019,20.85048010973937,8.641975308641975,0.2085048010973937,0.08641975308641975
2020-01-01,WK003405,5060,1155,435,2020,22.82608695652174,8.596837944664031,0.22826086956521738,0.08596837944664032
2021-01-01,WK003405,6660,1570,555,2021,23.573573573573572,8.333333333333332,0.23573573573573572,0.08333333333333333
