Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,pct_0_15,pct_15_25,Ratio_0_15,Ratio_15_25
WK003401,22790,3975,2420,2018,17.441860465116278,10.618692408951294,0.1744186046511628,0.1061869240895129
WK003401,22875,3945,2415,2019,17.245901639344265,10.557377049180328,0.1724590163934426,0.1055737704918032
WK003401,23275,4005,2485,2020,17.207303974221265,10.676691729323307,0.1720730397422126,0.106766917293233
WK003401,23530,4180,2465,2021,17.764555886102848,10.475988100297492,0.1776455588610284,0.1047598810029749
WK003402,108800,19915,14890,2018,18.30422794117647,13.685661764705884,0.1830422794117647,0.1368566176470588
WK003402,109260,19505,14975,2019,17.85191286838733,13.705839282445542,0.1785191286838733,0.1370583928244554
WK003402,109805,19275,14890,2020,17.553845453303584,13.560402531760849,0.1755384545330358,0.1356040253176084
WK003402,109415,18890,14625,2021,17.264543252753278,13.366540236713432,0.1726454325275327,0.1336654023671343
WK003403,56315,11190,7730,2018,19.87037201456096,13.726360649915652,0.1987037201456095,0.1372636064991565
WK003403,56760,10955,7895,2019,19.300563777307964,13.909443269908389,0.1930056377730796,0.1390944326990838
WK003403,56970,10700,7955,2020,18.7818149903458,13.963489555906616,0.1878181499034579,0.1396348955590661
WK003403,56985,10480,7780,2021,18.39080459770115,13.652715626919363,0.1839080459770115,0.1365271562691936
WK003404,13430,3375,1220,2018,25.13030528667163,9.084139985107967,0.2513030528667163,0.0908413998510796
WK003404,15365,3900,1390,2019,25.38236251220306,9.046534331272372,0.2538236251220306,0.0904653433127237
WK003404,16760,4285,1465,2020,25.566825775656326,8.741050119331742,0.2556682577565632,0.0874105011933174
WK003404,18095,4585,1600,2021,25.338491295938105,8.842221608179054,0.253384912959381,0.0884222160817905
WK003405,2655,465,235,2018,17.51412429378531,8.851224105461393,0.1751412429378531,0.0885122410546139
WK003405,3645,760,315,2019,20.85048010973937,8.641975308641975,0.2085048010973937,0.0864197530864197
WK003405,5060,1155,435,2020,22.82608695652174,8.596837944664031,0.2282608695652173,0.0859683794466403
WK003405,6660,1570,555,2021,23.57357357357357,8.333333333333332,0.2357357357357357,0.0833333333333333
