Jaar,Wijk,voorspelling_0_15,voorspelling_15_25
2026,WK003401,4465.0,2579.5
2027,WK003401,4532.5,2600.0
2028,WK003401,4600.0,2620.5
2029,WK003401,4667.5,2641.0
2030,WK003401,4735.0,2661.5
2031,WK003401,4802.5,2682.0
2032,WK003401,4870.0,2702.5
2033,WK003401,4937.5,2723.0
2034,WK003401,5005.0,2743.5
2035,WK003401,5072.5,2764.0
2026,WK003402,17248.0,14273.0
2027,WK003402,16917.5,14185.0
2028,WK003402,16587.0,14097.0
2029,WK003402,16256.5,14009.0
2030,WK003402,15926.0,13921.0
2031,WK003402,15595.5,13833.0
2032,WK003402,15265.0,13745.0
2033,WK003402,14934.5,13657.0
2034,WK003402,14604.0,13569.0
2035,WK003402,14273.5,13481.0
2026,WK003403,9281.0,7976.5
2027,WK003403,9042.5,7997.5
2028,WK003403,8804.0,8018.5
2029,WK003403,8565.5,8039.5
2030,WK003403,8327.0,8060.5
2031,WK003403,8088.5,8081.5
2032,WK003403,7850.0,8102.5
2033,WK003403,7611.5,8123.5
2034,WK003403,7373.0,8144.5
2035,WK003403,7134.5,8165.5
2026,WK003404,6646.0,2208.5
2027,WK003404,7047.5,2330.0
2028,WK003404,7449.0,2451.5
2029,WK003404,7850.5,2573.0
2030,WK003404,8252.0,2694.5
2031,WK003404,8653.5,2816.0
2032,WK003404,9055.0,2937.5
2033,WK003404,9456.5,3059.0
2034,WK003404,9858.0,3180.5
2035,WK003404,10259.5,3302.0
2026,WK003405,3399.0,1087.0
2027,WK003405,3770.0,1195.0
2028,WK003405,4141.0,1303.0
2029,WK003405,4512.0,1411.0
2030,WK003405,4883.0,1519.0
2031,WK003405,5254.0,1627.0
2032,WK003405,5625.0,1735.0
2033,WK003405,5996.0,1843.0
2034,WK003405,6367.0,1951.0
2035,WK003405,6738.0,2059.0
