"Postcodes";"Nieuwbouw|2018";"Nieuwbouw|2019";"Nieuwbouw|2020";"Nieuwbouw|2021"
"1309 Overig";"";"";"";""
"1311 Muziekwijk";"";"";"";""
"1312 Muziekwijk (tnv spoorlijn)";"";"";"";""
"1313 Kruidenwijk";"";"";"";""
"1314 Staatsliedenwijk";"";"";"";""
"1315 Centrum-Stad";40;"";"";""
"1316 Wijk tnv Hogering";"";"";"";""
"1317 Waterwijk";"";"";"";""
"1318 Verzetswijk";"";40;"";1
"1319 Almere";103;131;9;""
"1321 Literatuurwijk";"";"";"";""
"1322 De Korver";"";"";"";""
"1323 Muziekwijk (tzv spoorlijn)";"";"";"";""
"1324 Stedenwijk";"";"";"";""
"1325 Filmwijk";48;"";"";""
"1326 Parkwijk";"";"";"";""
"1327 Almere";"";"";"";""
"1328 Almere";"";44;"";""
"1329 Almere";"";"";"";""
"1331 De vaart";1;"";"";2
"1332 De Vaart";"";"";"";""
"1333 Bouwmeester-/Landgoederen-/Molenbrt";"";"";"";""
"1334 Centrum Haven/Buiten";194;62;76;89
"1335 Seizoenenbuurt";37;69;"";114
"1336 Almere";100;35;173;113
"1338 Bloemen-/Faunabrt";"";"";"";""
"1339 Regenboogbuurt";"";41;"";21
"1341 Landelijk gebied Almere-oost";179;211;145;203
"1343 Hout";9;12;36;47
"1349 Landelijk gebied Almere-oost";148;211;266;248
"1351 Steiger/Gouwen/Paal";"";24;"";""
"1352 De Gouwen/de Paal";11;5;3;6
"1353 De Wierden";"";59;40;22
"1354 Werven/Hoven";"";"";"";""
"1355 De Marken";"";52;"";20
"1356 Grienden";"";"";"";""
"1357 De Meenten";"";"";"";""
"1358 Windhoek/Cirkelbos";2;6;2;6
"1359 De Velden";3;56;3;76
"1361 Almere";222;153;451;387
"1362 Almere";1;"";"";""
"1363 Almere";547;442;131;93
